Date,Power Plant: Availability: Inverter (Installed Power) [%] (Mean) [%] {p170850_plant_sg_inv_p_cond_avail},S01 skyCONNi-Sun Temperature: Temperature: Module 01 [°C] (Mean) [°C] {p170850_nid_100003_c0101053001_85000001},skycontrol: Active Power: Control value (Mean) [%] {p170850_skycontrol0065_00000850}
2020-10-01 00:00:00,100.00,36.90,100.00
2020-10-02 00:00:00,100.00,36.35,100.00
2020-10-03 00:00:00,100.00,36.87,76.18
2020-10-04 00:00:00,99.21,36.98,51.72
2020-10-05 00:00:00,99.84,36.88,97.92
2020-10-06 00:00:00,100.00,36.40,100.00
2020-10-07 00:00:00,100.00,36.15,100.00
2020-10-08 00:00:00,99.99,34.70,100.00
2020-10-09 00:00:00,100.00,35.09,100.00
2020-10-10 00:00:00,85.12,34.77,75.62
2020-10-11 00:00:00,100.00,35.78,54.16
2020-10-12 00:00:00,99.65,37.26,100.00
2020-10-13 00:00:00,95.96,34.64,58.74
2020-10-14 00:00:00,99.23,34.27,98.80
2020-10-15 00:00:00,99.63,36.30,100.00
2020-10-16 00:00:00,99.97,35.08,100.00
2020-10-17 00:00:00,100.00,34.66,99.66
2020-10-18 00:00:00,100.00,34.86,98.40
2020-10-19 00:00:00,82.54,35.53,97.14
2020-10-20 00:00:00,100.00,35.99,100.00
2020-10-21 00:00:00,100.00,36.25,100.00
2020-10-22 00:00:00,100.00,36.61,100.00
2020-10-23 00:00:00,100.00,36.28,100.00
2020-10-24 00:00:00,100.00,35.55,99.68
2020-10-25 00:00:00,68.22,36.68,76.85
2020-10-26 00:00:00,99.81,36.96,99.04
2020-10-27 00:00:00,100.00,36.11,100.00
2020-10-28 00:00:00,100.00,36.13,100.00
2020-10-29 00:00:00,99.22,35.42,100.00
2020-10-30 00:00:00,100.00,36.39,100.00
2020-10-31 00:00:00,99.98,36.15,97.54
